,	、
rq	ろん
rr	っ	r
ru	る
rx	りん
s'	さい
s,	そう
s.	せい
sa	さ
se	せ
sh'	しゃい
sh,	しょう
sh.	しぇい
sh;	しゃん
sha	しゃ
she	しぇ
shi	しぃ
shj	しぇん
shk	しゅん
sho	しょ
shp	しゅう
shq	しょん
shu	しゅ
shx	しぃん
si	し
sj	せん
sk	すん
so	そ
sp	すう
s;	さん
sq	そん
ss	っ	s
su	す
sx	しん
sya	しゃ
sye	しぇ
syi	しぃ
syo	しょ
syu	しゅ
t'	たい
t,	とう
t.	てい
t;	たん
ta	た
tch	っ	ch
te	て
ti	ち
tj	てん
tk	つん
tn'	てゃい
tn,	ちょう
tn.	てぇい
tn;	てゃん
tna	ちゃ
tne	ちぇ
tni	ちぃ
tnj	てぇん
tnk	てゅん
tno	ちょ
tnp	てゅう
tnq	てょん
tnu	ちゅ
tnx	てぃん
to	と
tp	つう
tq	とん
tsa	つゃ
tse	つぇ
tsi	つぃ
tso	つょ
tsu	つ
tt	っ	t
tu	つ
twu	とぅ
tx	ちん
u	う
va	ヴァ
ve	ヴェ
vi	ヴィ
vo	ヴォ
vu	ヴ
vv	っ	v
w'	わい
wa	わ
wo	を
ww	っ	w
wye	ゑ
wyi	ゐ
w;	わん
xa	ぁ
xe	ぇ
xi	ぃ
xka	ヵ
xke	ヶ
xo	ぉ
xtu	っ
xu	ぅ
xya	ゃ
xyo	ょ
xyu	ゅ
y'	やい
y,	よう
y.	いぇい
y;	やん
ya	や
ye	いぇ
yi	い
yk	ゆん
yo	よ
yq	よん
yu	ゆ
yy	っ	y
z'	ざい
z,	ぞう
z.	ぜい
z;	ざん
za	ざ
ze	ぜ
zh'	じゃい
zh,	じょう
zh.	じぇい
zh;	じゃん
zha	じゃ
zhe	じぇ
zhi	じぃ
zhj	じぇん
zhk	じゅん
zho	じょ
zhp	じゅう
zhq	じょん
zhu	じゅ
zhx	じぃん
zi	じ
zj	ぜん
zk	ずん
zo	ぞ
zp	ずう
zq	ぞん
zu	ず
zx	じん
zz	っ	z
~	〜
