,	、
rhq	りょん
rhu	りゅ
rhx	りぃん
ri	り
rj	れん
rk	るん
ro	ろ
rq	ろん
rr	っ	r
ru	る
rx	りん
rya	りゃ
rye	りぇ
ryi	りぃ
ryo	りょ
ryu	りゅ
s'	さい
s,	そう
s.	せい
s;	さん
sa	さ
se	せ
sh'	しゃい
sh,	しょう
sh.	しぇい
sh;	しゃん
sha	しゃ
she	しぇ
shi	しぃ
shj	しぇん
shk	しゅん
sho	しょ
shq	しょん
shu	しゅ
shx	しぃん
si	し
sj	せん
sk	すん
so	そ
sq	そん
ss	っ	s
su	す
sx	しん
sya	しゃ
sye	しぇ
syi	しぃ
syo	しょ
syu	しゅ
t'	たい
t,	とう
t.	てい
t;	たん
ta	た
tch	っ	ch
te	て
tha	てゃ
the	てぇ
thi	てぃ
tho	てょ
thu	てゅ
ti	ち
tj	てん
tk	つん
tn'	てゃい
tn,	ちょう
tn.	てぇい
tn;	てゃん
tna	ちゃ
tne	ちぇ
tni	ちぃ
tnj	てぇん
tnk	てゅん
tno	ちょ
tnq	てょん
tnu	ちゅ
tnx	てぃん
to	と
tq	とん
tsa	つゃ
tse	つぇ
tsi	つぃ
tso	つょ
tsu	つ
tt	っ	t
tu	つ
twa	とぁ
twe	とぇ
twi	とぃ
two	とぉ
twu	とぅ
tx	ちん
tya	ちゃ
tye	ちぇ
tyi	ちぃ
tyo	ちょ
tyu	ちゅ
u	う
va	ヴァ
ve	ヴェ
vi	ヴィ
vo	ヴォ
vu	ヴ
vv	っ	v
w'	わい
w;	わん
wa	わ
we	うぇ
wha	うぁ
whe	うぇ
whi	うぃ
who	うぉ
whu	う
wi	うぃ
wo	を
wye	ゑ
wyi	ゐ
xa	ぁ
xe	ぇ
xi	ぃ
xka	ヵ
xke	ヶ
xn	ん
xo	ぉ
xtsu	っ
xtu	っ
xu	ぅ
xwa	ゎ
xx	っ	x
xya	ゃ
xye	ぇ
xyi	ぃ
xyo	ょ
xyu	ゅ
y'	やい
y,	よう
y.	いぇい
y;	やん
ya	や
ye	いぇ
yi	い
yk	ゆん
yo	よ
yq	よん
yu	ゆ
yy	っ	y
z'	ざい
z,	ぞう
z.	ぜい
z;	ざん
za	ざ
ze	ぜ
zh'	じゃい
zh,	じょう
zh.	じぇい
zh;	じゃん
zha	じゃ
zhe	じぇ
zhi	じぃ
zhj	じぇん
zhk	じゅん
zho	じょ
zhq	じょん
zhu	じゅ
zhx	じぃん
zi	じ
zj	ぜん
zk	ずん
zo	ぞ
zq	ぞん
zu	ず
zx	じん
zz	っ	z
~	〜
